plan_day,m0_cost_yuan,m3_cost_yuan,daily_saving_yuan,cumulative_saving_yuan
2025-08-31,55544.03430420752,51094.99405963747,4449.040244570046,857307.761891446
2025-09-01,49544.72290406187,48177.98359711417,1366.7393069476966,858674.5011983936
2025-09-02,43314.51436986352,42710.56636104354,603.9480088199853,859278.4492072136
2025-09-03,47866.992279166036,46622.73093470813,1244.2613444579038,860522.7105516715
2025-09-04,46257.53377054916,44944.138718996954,1313.3950515522083,861836.1056032237
2025-09-05,18735.36631579947,17489.236659418086,1246.1296563813848,863082.2352596051
2025-09-06,21188.25459878458,19831.538615543956,1356.715983240625,864438.9512428457
2025-09-07,41492.5328056207,42356.729148461156,-864.196342840456,863574.7549000053
2025-09-08,45547.49074602663,45635.548225672144,-88.0574796455112,863486.6974203598
2025-09-09,40144.460251987395,40142.45021089543,2.0100410919621936,863488.7074614518
2025-09-10,45474.64915981093,45777.41320129458,-302.76404148364963,863185.9434199681
2025-09-11,44883.47286408692,42804.37126509918,2079.1015989877415,865265.0450189558
2025-09-12,16650.739132718754,16744.792152963506,-94.05302024475168,865170.9919987111
2025-09-13,19386.492268209786,18652.258015977848,734.2342522319377,865905.226250943
2025-09-14,46731.943670688874,45285.12151686135,1446.8221538275247,867352.0484047706
2025-09-15,44795.81742799146,42571.5629772816,2224.2544507098573,869576.3028554805
2025-09-16,47488.60536398906,44791.20489123136,2697.4004727576976,872273.7033282381
2025-09-17,45164.83584108664,44007.85846664469,1156.9773744419508,873430.68070268
2025-09-18,57845.75788463331,44677.61688219877,13168.141002434546,886598.8217051146
2025-09-19,16643.178295717273,17035.028928012413,-391.8506322951398,886206.9710728194
2025-09-20,18584.139106750263,18293.825014605973,290.31409214429004,886497.2851649637
2025-09-21,41635.15336373365,41021.12658754045,614.0267761931973,887111.3119411569
2025-09-22,45960.76097371806,44960.91646476304,999.8445089550223,888111.1564501119
2025-09-23,45565.72897084949,45088.048449035094,477.6805218144,888588.8369719263
2025-09-24,65362.99977116785,45724.479621031314,19638.520150136537,908227.3571220628
2025-09-25,42496.01507366009,44550.38364415126,-2054.3685704911695,906172.9885515716
2025-09-26,15535.400649264882,15874.735687230917,-339.3350379660351,905833.6535136056
2025-09-27,22190.158670760626,19497.154127436093,2693.0045433245323,908526.6580569302
2025-09-28,52096.61526729542,45369.55329054189,6727.061976753532,915253.7200336837
2025-09-29,45501.50447376527,45603.23428477648,-101.72981101120968,915151.9902226725
2025-09-30,54312.70804344195,47392.850257103375,6919.857786338573,922071.848009011
2025-10-01,40066.04506901629,39420.67182452877,645.3732444875204,922717.2212534986
2025-10-02,42960.5892176966,41291.97617882636,1668.613038870244,924385.8342923688
2025-10-03,12921.964977376523,12907.064023869023,14.900953507500162,924400.7352458764
2025-10-04,16408.086090644032,16231.20142897411,176.88466166992293,924577.6199075463
2025-10-05,39840.23050964492,39194.70743459703,645.5230750478877,925223.1429825942
2025-10-06,46890.93505113364,41928.98064994194,4961.954401191695,930185.0973837859
2025-10-07,42024.09070995852,41223.14691709308,800.943792865437,930986.0411766514
2025-10-08,39368.354037546946,39480.078667958594,-111.72463041164883,930874.3165462398
2025-10-09,42435.62380730178,41222.87474772959,1212.7490595721902,932087.065605812
2025-10-10,14258.8696853735,14889.05108079211,-630.1813954186091,931456.8842103934
2025-10-11,15997.149959308985,15716.861666941168,280.2882923678171,931737.1725027612
2025-10-12,40998.17024150371,38887.276575386364,2110.893666117343,933848.0661688786
2025-10-13,44663.638691814864,41673.071470366594,2990.5672214482693,936838.6333903269
2025-10-14,48612.59504360158,44463.97883450608,4148.616209095497,940987.2495994223
2025-10-15,45570.74463242167,44651.17132386769,919.5733085539832,941906.8229079763
2025-10-16,44595.43136315805,43037.86353790104,1557.5678252570142,943464.3907332333
2025-10-17,18485.96322237434,15413.980362229946,3071.9828601443933,946536.3735933776
2025-10-18,15397.906553275132,16232.936656162276,-835.0301028871436,945701.3434904905
2025-10-19,44640.021801322546,44324.051328718546,315.97047260399995,946017.3139630945
2025-10-20,48700.78356575165,47495.731537931904,1205.0520278197437,947222.3659909143
2025-10-21,48969.79559440576,47385.4241968274,1584.3713975783612,948806.7373884927
2025-10-22,50216.0997084503,46006.808064945326,4209.291643504977,953016.0290319977
2025-10-23,51544.9801496314,48146.56212025737,3398.4180293740355,956414.4470613718
2025-10-24,16239.915658809105,14964.915679910817,1274.9999788982877,957689.4470402701
2025-10-25,17455.992241452022,16537.581053499445,918.4111879525772,958607.8582282227
2025-10-26,46276.1059986636,45936.075326461185,340.0306722024179,958947.8889004252
2025-10-27,50815.456299537764,46299.718448967564,4515.7378505702,963463.6267509954
2025-10-28,61629.26291367033,49697.792000872854,11931.470912797478,975395.0976637929
2025-10-29,50444.57513709195,49963.681419738314,480.89371735363966,975875.9913811465
2025-10-30,57564.3049054191,46521.89754567619,11042.407359742909,986918.3987408894
2025-10-31,16638.471040734323,16931.75982150038,-293.28878076605906,986625.1099601233
2025-11-01,14699.069765408223,15201.943545302489,-502.8737798942657,986122.236180229
2025-11-02,50718.44026149877,50529.8387682105,188.6014932882681,986310.8376735173
2025-11-03,51565.05766076715,51309.319934522726,255.73772624442063,986566.5753997617
2025-11-04,52442.147933662985,49981.54285322358,2460.6050804394035,989027.180480201
2025-11-05,55252.26389025075,53769.215742488,1483.0481477627545,990510.2286279638
2025-11-06,53783.61441661758,51821.72024532214,1961.8941712954402,992472.1227992593
2025-11-07,16072.715589684198,16063.643928137006,9.07166154719198,992481.1944608064
2025-11-08,16621.738592022466,16433.155219579243,188.5833724432232,992669.7778332497
2025-11-09,52636.3119159807,50654.33632912412,1981.9755868565844,994651.7534201063
2025-11-10,55732.6291201337,57395.44075750854,-1662.8116373748417,992988.9417827314
2025-11-11,53280.003134145736,52324.67658837665,955.3265457690868,993944.2683285006
2025-11-12,52128.02548080263,53151.220753800175,-1023.1952729975455,992921.073055503
2025-11-13,64205.1668605476,54781.31696439167,9423.84989615593,1002344.9229516588
