scenario,policy,split,month,days,cash_cost,normal_cost,adjustment_cost,emergency_cost,emergency_kwh,surplus_kwh,gate_passes,gate_expected_net
q4_2,static,audit,2025-12,31,1985128.6341477646,1842508.4331334373,0.0,142620.20101432738,21725.418895681905,133976.6891127676,0,0.0
q4_2,static,development,2025-02,28,1264471.7838327552,1246600.772067197,0.0,17871.011765558156,3104.3338313948534,124065.38492903976,0,0.0
q4_2,static,development,2025-03,31,1193147.56284179,1056708.053435506,0.0,136439.50940628376,22842.928833902424,171101.18474120222,0,0.0
q4_2,static,development,2025-04,30,960662.959096713,864682.4130604309,0.0,95980.54603628219,15735.64634576674,219317.01602582034,0,0.0
q4_2,static,development,2025-05,31,1027275.460916826,880501.5605980523,0.0,146773.9003187737,24653.139394325797,265960.8309742326,0,0.0
q4_2,static,development,2025-06,30,1663316.7877223948,1334843.7638080555,0.0,328473.0239143393,51820.017727408835,229257.4797624777,0,0.0
q4_3,adaptive_no_updates,audit,2025-07,31,1773522.1449333604,1735154.4473684141,0.0,38367.697564946226,6175.014628012671,364851.6948640751,0,0.0
q4_3,adaptive_no_updates,audit,2025-08,31,1425200.3673811893,1338018.470377603,0.0,87181.89700358614,11480.292531459301,244525.5724799778,0,0.0
q4_3,adaptive_no_updates,audit,2025-09,30,1228152.3429367617,1017003.4253710144,0.0,211148.9175657473,33345.946146152404,169808.34569503315,0,0.0
q4_3,adaptive_no_updates,audit,2025-10,31,1165753.8328241298,1082024.4286154467,0.0,83729.40420868309,13352.993902241316,236296.10797626793,0,0.0
q4_3,adaptive_no_updates,audit,2025-11,30,1320047.1384469443,1269810.1000047317,0.0,50237.03844221275,8643.900125341559,77149.86036536898,0,0.0
q4_3,adaptive_no_updates,audit,2025-12,31,1904563.018893932,1863235.9371290915,0.0,41327.081764840514,6325.586877898285,141374.78935909623,0,0.0
q4_3,adaptive_no_updates,development,2025-02,28,1262492.494804005,1243571.0336485938,0.0,18921.46115541116,3403.164888602058,116512.2600365542,0,0.0
q4_3,adaptive_no_updates,development,2025-03,31,1216862.1626203505,1049189.1010461817,0.0,167673.06157416877,27396.12051960124,168163.7809568629,0,0.0
q4_3,adaptive_no_updates,development,2025-04,30,912631.7765030632,887304.5471141185,0.0,25327.229388944623,4101.986546716715,249658.54783649585,0,0.0
q4_3,adaptive_no_updates,development,2025-05,31,962867.875892838,879191.9397848811,0.0,83675.93610795688,14140.943585400963,230547.82996586376,0,0.0
q4_3,adaptive_no_updates,development,2025-06,30,1523470.16789049,1251330.7923947899,0.0,272139.37549570034,41133.713289134655,102696.37990815777,0,0.0
q4_3,adaptive_rolling,audit,2025-07,31,1791181.3772924365,1729634.913995781,51014.986523169944,10531.476773485458,2309.6785614699975,382955.0702849663,37,41894.1678519099
q4_3,adaptive_rolling,audit,2025-08,31,1423976.208648815,1337403.4987659114,6475.928642331,80096.78124057263,10310.08244586441,245963.37768347727,14,7051.699746248461
