plan_day,q4_2,q4_3_A,q4_3_B,A_minus_q42_yuan,B_minus_A_yuan
2025-06-15,62497.54196474489,62527.313462974314,58811.13366769714,29.77149822942738,-3716.179795277174
2025-06-16,63280.97510810395,63284.15442479395,60401.16626346706,3.1793166900024517,-2882.9881613268954
2025-06-17,56474.849487243664,56463.937492998666,57415.30948779323,-10.911994244997913,951.3719947945647
2025-06-18,58095.1644814281,58090.3622606731,56094.64784778475,-4.802220755002054,-1995.714412888352
2025-06-19,58982.78453253947,58986.877511404695,57409.54264117469,4.0929788652283605,-1577.3348702300063
2025-06-20,20978.235174405578,20976.36715646874,20934.441978778883,-1.8680179368384415,-41.925177689856355
2025-06-21,19185.30267125043,19185.30267125043,18959.8270923403,0.0,-225.47557891012912
2025-06-22,55598.726382333305,55581.001711123536,52339.37767199969,-17.72467120976944,-3241.624039123846
2025-06-23,53161.50612161846,53144.64895090346,51972.00658448788,-16.85717071500403,-1172.642366415581
2025-06-24,82848.45873351846,59475.02192277471,60530.91097995219,-23373.436810743755,1055.8890571774828
2025-06-25,57786.633062606146,57227.33386915334,55328.037792347415,-559.2991934528036,-1899.2960768059274
2025-06-26,55773.8737878478,55763.802836118484,53921.00701188972,-10.070951729314402,-1842.795824228764
2025-06-27,20232.494159712573,20223.818409183823,20310.054256821048,-8.675750528749631,86.23584763722465
2025-06-28,18561.497752289542,18561.497752289542,18561.497752289542,0.0,0.0
2025-06-29,58865.40715133482,58865.40715133482,55072.762212325244,0.0,-3792.644939009573
2025-06-30,50875.72327115343,50861.91287066877,52098.48325312468,-13.810400484660931,1236.5703824559096
2025-07-01,95836.14594557247,68527.46361632738,67984.26192226599,-27308.682329245086,-543.2016940613976
2025-07-02,70841.16507354699,61343.31008762389,61243.46925838217,-9497.854985923099,-99.84082924172253
2025-07-03,79290.271859157,73581.27185432646,72457.59809360586,-5709.000004830537,-1123.6737607206014
2025-07-04,34510.090723166766,30034.29312433238,30079.4884883626,-4475.797598834386,45.195364030219935
2025-07-05,34321.949274247614,29007.795456169893,29009.029900192785,-5314.153818077721,1.2344440228916937
2025-07-06,117512.23795455773,72927.33704677313,72466.53298391047,-44584.9009077846,-460.80406286266225
2025-07-07,65779.51402633337,62323.7550813821,61883.807537470195,-3455.7589449512743,-439.9475439119051
2025-07-08,69775.74152041545,69315.76823523683,68436.96332271205,-459.9732851786248,-878.804912524778
2025-07-09,62118.72618434411,62148.49775439829,62149.70776354575,29.77157005418121,1.2100091474640067
2025-07-10,62341.97947815279,62361.29841322779,62361.29841322779,19.318935075003537,0.0
2025-07-11,27837.31645877214,27861.946503581752,27099.273474236972,24.630044809611718,-762.6730293447799
2025-07-12,27090.09646141319,27107.28264873569,28321.1514245812,17.18618732249888,1213.868775845509
2025-07-13,62169.61447725527,62186.59387731946,60964.73612980482,16.97940006418503,-1221.8577475146376
2025-07-14,60793.009967430015,60911.87483260305,59978.971886352476,118.86486517303274,-932.9029462505714
2025-07-15,72367.00532937891,72391.95031424839,71709.77139018447,24.944984869478503,-682.1789240639191
2025-07-16,65752.62365393448,65735.2055489608,64330.02341947103,-17.418104973679874,-1405.1821294897745
2025-07-17,67375.24677891645,67385.42277674146,65600.07293304139,10.175997825004742,-1785.3498437000671
2025-07-18,28607.58983184784,28603.852187424865,27832.48148081105,-3.737644422973972,-771.3707066138159
2025-07-19,28950.238695129945,28942.61504797153,27873.648700961472,-7.623647158416134,-1068.9663470100568
2025-07-20,67196.4948610165,67188.88167839259,65185.6648453005,-7.6131826239143265,-2003.2168330920904
2025-07-21,71922.41539115128,71921.31228118303,69659.69840439751,-1.10310996825865,-2261.6138767855155
2025-07-22,66111.98301899164,66100.5210397619,66163.15283578247,-11.461979229745339,62.631796020577895
2025-07-23,64275.15579564431,64274.04138049431,65188.52649938279,-1.1144151499975123,914.4851188884786
2025-07-24,63477.00690604585,63464.141745879184,62245.18989540005,-12.865160166664282,-1218.951850479134
2025-07-25,28180.216913039447,28173.626764700202,27103.850061918376,-6.590148339244479,-1069.7767027818263
2025-07-26,29536.665285554096,29529.599475477593,28352.92905613963,-7.065810076503112,-1176.6704193379628
2025-07-27,64420.35091470056,65316.39593786915,63006.49187654262,896.04502316859,-2309.9040613265315
2025-07-28,71629.02117306158,71618.68665253658,69919.93910929344,-10.334520525007974,-1698.7475432431384
2025-07-29,66573.69180380966,66571.39023534466,64638.25003558341,-2.3015684650017647,-1933.1401997612484
2025-07-30,65071.67549116373,65066.87615074706,63736.45954905071,-4.79934041667002,-1330.41660169635
2025-07-31,68587.3526196188,68580.74219708794,65923.95116204784,-6.6104225308663445,-2656.7910350400925
2025-08-01,27906.750237774453,27901.570777351953,26465.25106618884,-5.179460422499687,-1436.3197111631125
2025-08-02,24398.36847049729,24403.09566185543,25249.684168978314,4.727191358138953,846.588507122884
2025-08-03,59859.64108479907,59848.595721373145,58706.74975671925,-11.045363425924734,-1141.8459646538977
2025-08-04,60024.381526615645,60017.254411983144,59567.73351495823,-7.127114632501616,-449.52089702491503
2025-08-05,56746.8909553531,56756.59100836803,56559.16764380165,9.700053014930745,-197.42336456637713
2025-08-06,58667.84316324287,55898.61894657029,55389.794457398406,-2769.2242166725773,-508.82448917188594
2025-08-07,53480.73368048482,52817.36009661554,52817.36009661554,-663.3735838692737,0.0
2025-08-08,24395.249367052566,24383.93402023214,24281.599069973494,-11.315346820425475,-102.33495025864613
2025-08-09,22620.526075203332,22621.19929751793,22621.19929751793,0.6732223145991156,0.0
2025-08-10,52527.800092970465,52525.342527018525,52525.342527018525,-2.457565951939614,0.0
2025-08-11,54035.233084767264,54035.4316794201,54035.4316794201,0.19859465283661848,0.0
2025-08-12,57453.216909371935,55635.52916927173,55347.88793886044,-1817.6877401002057,-287.64123041128914
2025-08-13,52853.54310488521,54248.69547471693,54225.94814026947,1395.1523698317178,-22.747334447456524
2025-08-14,53505.50947569872,54332.48554124143,54009.84858313521,826.9760655427162,-322.6369581062245
2025-08-15,22993.847976231482,22821.19468955084,22848.820383435115,-172.65328668064103,27.62569388427437
2025-08-16,22695.532472720264,22756.37162652,22756.37162652,60.83915379973405,0.0
2025-08-17,50889.34160527276,52210.49497704898,52177.715216176315,1321.153371776214,-32.77976087266143
2025-08-18,52389.491106353824,54642.430273196886,54637.767378346885,2252.9391668430617,-4.662894850000157
2025-08-19,54471.310271349794,52465.68126226677,52214.86896166438,-2005.6290090830225,-250.81230060238886
2025-08-20,89493.89716289249,59495.98882363652,59495.98882363652,-29997.90833925597,0.0
2025-08-21,53191.671443576226,52787.67303643518,52765.601213990056,-403.9984071410436,-22.0718224451266
2025-08-22,26169.684126977045,23896.290764308622,23899.998264391998,-2273.393362668423,3.707500083375635
2025-08-23,22851.222650478125,23224.386716391087,23224.386716391087,373.16406591296254,0.0
2025-08-24,52428.00329950715,53134.86263025802,52797.606272099896,706.8593307508709,-337.2563581581271
